,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location
0,2023,SE,FT,Principal Data Scientist,85847,ES,100,ES
1,2023,MI,CT,ML Engineer,30000,US,100,US
2,2023,MI,CT,ML Engineer,25500,US,100,US
3,2023,SE,FT,Data Scientist,175000,CA,100,CA
4,2023,SE,FT,Data Scientist,120000,CA,100,CA
5,2023,SE,FT,Applied Scientist,222200,US,0,US
6,2023,SE,FT,Applied Scientist,136000,US,0,US
7,2023,SE,FT,Data Scientist,219000,CA,0,CA
8,2023,SE,FT,Data Scientist,141000,CA,0,CA
9,2023,SE,FT,Data Scientist,147100,US,0,US
10,2023,SE,FT,Data Scientist,90700,US,0,US
11,2023,SE,FT,Data Analyst,130000,US,100,US
12,2023,SE,FT,Data Analyst,100000,US,100,US
13,2023,EN,FT,Applied Scientist,213660,US,0,US
14,2023,EN,FT,Applied Scientist,130760,US,0,US
15,2023,SE,FT,Data Modeler,147100,US,0,US
16,2023,SE,FT,Data Modeler,90700,US,0,US
17,2023,SE,FT,Data Scientist,170000,US,0,US
18,2023,SE,FT,Data Scientist,150000,US,0,US
19,2023,MI,FT,Data Analyst,150000,US,100,US
20,2023,MI,FT,Data Analyst,110000,US,100,US
21,2023,SE,FT,Research Engineer,275000,DE,0,DE
22,2023,SE,FT,Research Engineer,174000,DE,0,DE
23,2023,SE,FT,Analytics Engineer,230000,GB,100,GB
24,2023,SE,FT,Analytics Engineer,143200,GB,100,GB
25,2023,SE,FT,Business Intelligence Engineer,225000,US,0,US
26,2023,SE,FT,Business Intelligence Engineer,156400,US,0,US
27,2023,SE,FT,Machine Learning Engineer,200000,US,0,US
28,2023,SE,FT,Machine Learning Engineer,130000,US,0,US
29,2023,SE,FT,Data Strategist,90000,CA,0,CA
30,2023,SE,FT,Data Strategist,72000,CA,0,CA
31,2023,SE,FT,Data Engineer,253200,US,0,US
32,2023,SE,FT,Data Engineer,90700,US,0,US
33,2023,SE,FT,Computer Vision Engineer,342810,US,0,US
34,2023,SE,FT,Computer Vision Engineer,184590,US,0,US
35,2023,MI,FT,Data Engineer,162500,US,0,US
36,2023,MI,FT,Data Engineer,130000,US,0,US
37,2023,MI,FT,Data Analyst,105380,US,0,US
38,2023,MI,FT,Data Analyst,64500,US,0,US
39,2023,EN,FT,Data Quality Analyst,100000,NG,100,NG
40,2023,EN,FT,Compliance Data Analyst,30000,NG,100,NG
41,2022,MI,FT,Machine Learning Engineer,20984,IN,50,IN
42,2023,EN,FT,Applied Scientist,204620,US,0,US
